<UNK> 1.0	sil
ತೇಲಾಡುತ್ತ 1.0	t ee l aa dx u t eu t 
ಹಿಮರೂಪಿ 1.0	h i m r uu p i 
ಪರಿಶುದ್ಧವಾದುದು 1.0	p r i sh u d eu dh w aa d u d u 
ವಿಧಗಳು 1.0	w i dh g lx u 
ಸಂಯೋಜಿತದೊಂದಿಗೆ 1.0	s q y ii i t d o q d i g e 
ಗುರುತ್ವಕರ್ಷಣೆಯ 1.0	g u r u t eu w k r eu sx nx e y 
ಬಲವಾಗಿ 1.0	b l w aa g i 
ನೈಪುಣ್ಯತೆ 1.0	n ai p u nx eu y t e 
ಹೊಂದಿರುತ್ತದೆಯೋ 1.0	h o q d i r u t eu t d e y oo 
ಸ್ಟೇಷನರಿ 1.0	s eu tx ee sx n r i 
ಬಳಕೆಗಳಿಗಾಗಿ 1.0	b lx k e g lx i g aa g i 
ನಿಧಿಯು 1.0	n i dh i y u 
ಮೇಲುಸ್ತುವಾರಿ 1.0	m ee l u s eu t u w aa r i 
ಮಂಡಳಿಯನ್ನು 1.0	m q dx lx i y n eu n u 
ಉದ್ಯಮಗಳು 1.0	u d eu y m g lx u 
ಪರಕೀಯರ 1.0	p r k ii y r 
ಸ್ವಾಧೀನದಲ್ಲಿವೆ 1.0	s eu w aa dh ii n d l eu l i w e 
ತ್ಯಾಜ್ಯ 1.0	t eu y aa j eu y 
ಸಂಗ್ರಹಣಾ 1.0	s q g eu r h nx aa 
ವ್ಯವಸ್ಥೆಗೆ 1.0	w eu y w s eu th e g e 
ಸದೃಶವಾಗಿದೆ 1.0	s d rq sh w aa g i d e 
ಅಂತರ್ಜಾಲಕ್ಕೆ 1.0	a q t r eu j aa l k eu k e 
ನಿರ್ಣಯಕಾರಿ 1.0	n i r eu nx y k aa r i 
ಅಂಶಗಳಲ್ಲಿ 1.0	a q sh g lx l eu l i 
ಶಿಷ್ಟಾಚಾರವೂ 1.0	sh i sx eu tx aa c aa r w uu 
ಮಾರುಕಟ್ಟೆಯಲ್ಲಿರುವ 1.0	m aa r u k tx eu tx e y l eu l i r u w 
ಸಂಖ್ಯಾಶಾಸ್ತ್ರಗಳು 1.0	s q kh eu y aa sh aa s eu t eu r g lx u 
ಭಾಗಗಳಾಗಿವೆ 1.0	bh aa g g lx aa g i w e 
ಆವಿಸ್ಕಾರಗಳು 1.0	aa w i s eu k aa r g lx u 
ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತಿವೆ 1.0	h u tx eu tx i k o lx eu lx u t eu t i w e 
ಅವಸಾಧನದಲ್ಲಿ 1.0	a w s aa dh n d l eu l i 
ಬಹಳವಾಗಿದ್ದರೆ 1.0	b h lx w aa g i d eu d r e 
ಅದಕ್ಕೊಂದು 1.0	a d k eu k o q d u 
ಹೆಣಿಗೆಯನ್ನು 1.0	h e nx i g e y n eu n u 
ಕೊಡುತ್ತವೆ 1.0	k o dx u t eu t w e 
ಸಾರಥಿ 1.0	s aa r th i 
ಕುದುರೆಗಳನ್ನು 1.0	k u d u r e g lx n eu n u 
ಚಾವಟಿಯಿಂದ 1.0	c aa w tx i y i q d 
ಹೊಡೆವಂತೆ 1.0	h o dx e w q t e 
ದೂತರಾದ 1.0	d uu t r aa d 
ಮೋಡಗಳನ್ನು 1.0	m ii g lx n eu n u 
ಹೊಡೆಯುತ್ತಾನೆ 1.0	h o dx e y u t eu t aa n e 
ತಜ್ಞ 1.0	t j eu nj 
ವೈದ್ಯರನ್ನು 1.0	w ai d eu y r n eu n u 
ತಲುಪಲು 1.0	t l u p l u 
ಕಷ್ಟವಾಗಿರುವ 1.0	k sx eu tx w aa g i r u w 
ತುರ್ತುಪರಿಸ್ಥಿತಿ 1.0	t u r eu t u p r i s eu th i t i 
ಗ್ರಾಮೀಣ 1.0	g eu r aa m ii nx 
ಕಾಳಜಿಯ 1.0	k aa lx j i y 
ಬಿಕ್ಕಟ್ಟಿನಿಂದಾಗಿ 1.0	b i k eu k tx eu tx i n i q d aa g i 
ಅರ್ಜೆಂಟೈನಾ 1.0	a r eu j e q tx ai n aa 
ಅಮೆರಿಕಾದ 1.0	a m e r i k aa d 
ಇತರೆ 1.0	i t r e 
ದ್ವೇಷಿಸತೊಡಗಿತು 1.0	d eu w ee sx i s t o dx g i t u 
ಅನುಸಾರ 1.0	a n u s aa r 
ಒಂದಷ್ಟು 1.0	o q d sx eu tx u 
ಕರ್ತವ್ಯಗಳನ್ನು 1.0	k r eu t w eu y g lx n eu n u 
ನೆರವೇರಿಸುವುದು 1.0	n e r w ee r i s u w u d u 
ಅಗತ್ಯವಾಗಿದೆ 1.0	a g t eu y w aa g i d e 
ಆವರಣಗಳಲ್ಲಿ 1.0	aa w r nx g lx l eu l i 
ಹೆಸರುಗಳೊಂದಿಗೆ 1.0	h e s r u g lx o q d i g e 
ಟಿಪ್ಪಣಿಗಳು 1.0	tx i p eu p nx i g lx u 
ಅಂಕಣದಲ್ಲಿ 1.0	a q k nx d l eu l i 
ಸ್ಥಾನಗಳಿಲ್ಲದೆ 1.0	s eu th aa n g lx i l eu l d e 
ಮೈ 1.0	m ai 
ಎಲ್ಲವೂ 1.0	e l eu l w uu 
ಅಂಟಿಕೊಳ್ಳುವುದು 1.0	a q tx i k o lx eu lx u w u d u 
ಅನ್ನಾಂಗಗಳು 1.0	a n eu n aa q g g lx u 
ಪ್ರಮಾಣದಲ್ಲೂ 1.0	p eu r m aa nx d l eu l uu 
ಬಿ 1.0	b i 
ಇಂಟರ್ಫೇಸ್ 1.0	i q tx r eu txh s eu 
ಉತ್ಪತ್ತಿಯಾಗದೆ 1.0	u t eu p t eu t i y aa g d e 
ಕೊರತೆಯಾದಾಗ 1.0	k o r t e y aa d aa g 
ವೃತ್ತಾಕಾರವನ್ನು 1.0	w rq t eu t aa k aa r w n eu n u 
ನಮೂದಿಸಿ 1.0	n m uu d i s i 
ವಿಭಾಗಗಳನ್ನು 1.0	w i bh aa g g lx n eu n u 
ಕೇಂದ್ರಗಳು 1.0	k ee q d eu r g lx u 
ಪ್ರಶ್ನೆಗಳಿಗಾಗಿ 1.0	p eu r sh eu n e g lx i g aa g i 
ಮಾಡಲಾಗುತ್ತಿದ್ದ 1.0	m aa dx l aa g u t eu t i d eu d 
ಕರೆಗಳ 1.0	k r e g lx 
ಉಂಟಾಗುತ್ತಿದ್ದ 1.0	u q tx aa g u t eu t i d eu d 
ಉಳಿತಾಯವು 1.0	u lx i t aa y w u 
ಹೂಡಲಾದ 1.0	h uu dx l aa d 
ಬಂಡವಾಳಕ್ಕಿಂತ 1.0	b q dx w aa lx k eu k i q t 
ಅಧಿಕವಾಗಿತ್ತು 1.0	a dh i k w aa g i t eu t u 
ಕೇಶವ 1.0	k ee sh w 
ಮೂರ್ತಿ 1.0	m uu r eu t i 
ಶಿಲ್ಪ 1.0	sh i l eu p 
ಕಂಪೆನಿಯ 1.0	k q p e n i y 
ಘಟಕಕ್ಕೆ 1.0	gh tx k k eu k e 
ಸಂಪರ್ಕಿತವಾಗಿರುವ 1.0	s q p r eu k i t w aa g i r u w 
ಜೋಡಿತಂತಿಗಳನ್ನು 1.0	j ii i t q t i g lx n eu n u 
ಪ್ರತಿನಿಧಿಸುತ್ತದೆ 1.0	p eu r t i n i dh i s u t eu t d e 
ದೂರದರ್ಶನ 1.0	d uu r d r eu sh n 
ವಾಹಿನಿಯು 1.0	w aa h i n i y u 
ಪ್ರಸಾರಮಾಡಲ್ಪಟ್ಟ 1.0	p eu r s aa r m aa dx l eu p tx eu tx 
ವಿಡಿಯೋದ 1.0	w i dx i y ii 
ಮೂಲೆಗೆ 1.0	m uu l e g e 
ಲಾಂಛನವನ್ನು 1.0	l aa q ai w n eu n u 
ಸೇರ್ಪಡೆ 1.0	s ee r eu p dx e 
ಅಂತರ್ವ್ಯಾಪ್ತನಾಗಿದ್ದರೂ 1.0	a q t r eu w eu y aa p eu t n aa g i d eu d r uu 
ಪ್ರಪಂಚವನ್ನು 1.0	p eu r p q c w n eu n u 
ಸರ್ವಸ್ವತಂತ್ರನಾಗಿರುತ್ತಾನೆ 1.0	s r eu w s eu w t q t eu r n aa g i r u t eu t aa n e 
ವಿಚಿತ 1.0	w i c i t 
ಸ್ಟೇಟ್ 1.0	s eu tx ee tx eu 
ಸ್ಥಾನಗಳಲ್ಲಿಯೂ 1.0	s eu th aa n g lx l eu l i y uu 
ಕಾಣಿಸಿಕೊಂಡು 1.0	k aa nx i s i k o q dx u 
ವ್ಯಾಪಾರಗಳನ್ನು 1.0	w eu y aa p aa r g lx n eu n u 
ಸರ್ವಾತ್ಮಕನಾದ 1.0	s r eu w aa t eu m k n aa d 
ನಡೆಸುವನೆಂದು 1.0	n dx e s u w n e q d u 
ವೇದಗಳಲ್ಲಿ 1.0	w ee d g lx l eu l i 
ಹೇಳಿರುವುದು 1.0	h ee lx i r u w u d u 
ಅತ್ಯಾಶ್ಚರ್ಯಕರವಾಗಿದೆ 1.0	a t eu y aa sh eu c r eu y k r w aa g i d e 
ಅಂಗಾಶ 1.0	a q g aa sh 
ಮರುರೂಪಿಸುವಿಕೆಯ 1.0	m r u r uu p i s u w i k e y 
ಅದಕ್ಕೆಪೂರಕವಾದ 1.0	a d k eu k e p uu r k w aa d 
ನಿರ್ವಹಿಸುವಲ್ಲಿಯೂ 1.0	n i r eu w h i s u w l eu l i y uu 
ದರಗಳನ್ನು 1.0	d r g lx n eu n u 
ಸಬಲಗೊಳಿಸಿ 1.0	s b l g o lx i s i 
ಅಭಿವೃದ್ಧಿಯನ್ನು 1.0	a bh i w rq d eu dh i y n eu n u 
ಗುರಿಯನ್ನು 1.0	g u r i y n eu n u 
ಗಮನದಲ್ಲಿ 1.0	g m n d l eu l i 
ಸ್ಥಾಪಿಸಲಾಗಿರುವ 1.0	s eu th aa p i s l aa g i r u w 
ಸಂಸ್ಥೆಯಾಗಿದೆ 1.0	s q s eu th e y aa g i d e 
ಶಕ್ತಿದೇವತೆಗಳಿಗೆ 1.0	sh k eu t i d ee w t e g lx i g e 
ಆಯುಧಗಳನ್ನು 1.0	aa y u dh g lx n eu n u 
ಹಿಡಿದಿವೆ 1.0	h i dx i d i w e 
ಮೊಟ್ಟೆಯೊಳಗಣ 1.0	m o tx eu tx e y o lx g nx 
ಭಂಡಾರದ 1.0	bh q dx aa r d 
ಹಂಚಿಕೆಯಲ್ಲಿ 1.0	h q c i k e y l eu l i 
ಸ್ವಲ್ಪಮಟ್ಟಿಗೆ 1.0	s eu w l eu p m tx eu tx i g e 
ಬದಲಾಗಿದೆ 1.0	b d l aa g i d e 
ವಿನ್ಯಾಸದ 1.0	w i n eu y aa s d 
ಫಲವಾಗಿ 1.0	txh w aa g i 
ಲಂಡನ್ 1.0	l q dx n eu 
ಸ್ವಂತವ್ಯಾಪಾರಿಯ 1.0	s eu w q t w eu y aa p aa r i y 
ಮುಂಬೈ 1.0	m u q b ai 
ತರವಣಿವಾಲನ 1.0	t r w nx i w aa l n 
ರೀತಿಯದು 1.0	r ii t i y d u 
ಸಾಧನೆಗಳು 1.0	s aa dh n e g lx u 
ವಿಶಿಷ್ಟವಾಗಿವೆ 1.0	w i sh i sx eu tx w aa g i w e 
ಒಳಪಡಬೇಕಾಗುತ್ತದೆ 1.0	o lx p dx b ee k aa g u t eu t d e 
ಗಂತಿ 1.0	g q t i 
ಬೆಳೆದಿರುವ 1.0	b e lx e d i r u w 
ಅಂಡಾಶಯವನ್ನು 1.0	a q dx aa sh y w n eu n u 
ಹಾಕುವುದು 1.0	h aa k u w u d u 
ಸೇರಿದೆ 1.0	s ee r i d e 
ತಿಳಿಯಪಡಿಸುವುದು 1.0	t i lx i y p dx i s u w u d u 
ಉಪಕ್ರಮದ 1.0	u p k eu r m d 
ಉದ್ದೇಶವಾಗಿದೆ 1.0	u d eu d ee sh w aa g i d e 
ಮಧ್ಯವರ್ತಿಯ 1.0	m dh eu y w r eu t i y 
ಸರಕಿನಂತಹ 1.0	s r k i n q t h 
ವಿಷಯವಸ್ತುವನ್ನು 1.0	w i sx y w s eu t u w n eu n u 
ಹೊಂದಿಲ್ಲ 1.0	h o q d i l eu l 
ಬಟೆಗಳ 1.0	b tx e g lx 
ನಡೆಯುತ್ತಿತ್ತು 1.0	n dx e y u t eu t i t eu t u 
ಪ್ಲಾಸ್ಮಾ 1.0	p eu l aa s eu m aa 
ಅದಕ್ಕೋಸ್ಕರವೇ 1.0	a d k eu k ii eu k r w ee 
ಅವನು 1.0	a w n u 
ಶಾರೀರಕ್ಕೆ 1.0	sh aa r ii r k eu k e 
ಪ್ರಾಧಾನ್ಯವನ್ನು 1.0	p eu r aa dh aa n eu y w n eu n u 
ಕೊಟ್ಟಿದ್ದಂತೆ 1.0	k o tx eu tx i d eu d q t e 
ಕೇಳಿಕೆಯ 1.0	k ee lx i k e y 
ಅಧ್ಯಯನಗಳನ್ನು 1.0	a dh eu y y n g lx n eu n u 
ನಡೆಸಿ 1.0	n dx e s i 
ಪ್ರಾಚೀನ 1.0	p eu r aa c ii n 
ಕಾಲದಿಂದಲೂ 1.0	k aa l d i q d l uu 
ಲೇಣೆ 1.0	l ee nx e 
ದೇಣೆ 1.0	d ee nx e 
ಸಾಗಣೆಗೆ 1.0	s aa g nx e g e 
ಏರ್ಪಾಡುಗಳು 1.0	ee r eu p aa dx u g lx u 
ವಿಶ್ವದಲ್ಲಿರುವುದೆಲ್ಲವೂ 1.0	w i sh eu w d l eu l i r u w u d e l eu l w uu 
ಆಳ್ವಿಕೆಗೊಳಪಟ್ಟಿವೆ 1.0	aa lx eu w i k e g o lx p tx eu tx i w e 
ಆಫ್ರಿಕವೇ 1.0	aa txh r i k w ee 
ತೈಲೋತ್ಪಾದನೆ 1.0	t ai l ii eu p aa d n e 
ಅಗದಿರ್ 1.0	a g d i r eu 
ಘಟನೆ 1.0	gh tx n e 
ರೈಲಿನಲ್ಲಿ 1.0	r ai l i n l eu l i 
ಪ್ರಯಾಣಿಸಿ 1.0	p eu r y aa nx i s i 
ಸಂಬಂಧದ 1.0	s q b q dh d 
ಸಸ್ಯಶಾಸ್ತ್ರಗಳ 1.0	s s eu y sh aa s eu t eu r g lx 
ಸಸ್ಯಶಾಸ್ತ್ರದಲ್ಲಿ 1.0	s s eu y sh aa s eu t eu r d l eu l i 
ಕೊಟ್ಟಿದೆ 1.0	k o tx eu tx i d e 
ದೀಪಾವಳಿ 1.0	d ii p aa w lx i 
ರಾತ್ರಿಗಳಲ್ಲಿ 1.0	r aa t eu r i g lx l eu l i 
ತಂಡ 1.0	t q dx 
ಕಟ್ಟಬೇಕು 1.0	k tx eu tx b ee k u 
ಸಹಿತವಾಗಿರುತ್ತದೆ 1.0	s h i t w aa g i r u t eu t d e 
ಕೋಟೆಯ 1.0	k ii e y 
ಹೊರಭಾಗ 1.0	h o r bh aa g 
ಪಾಳು 1.0	p aa lx u 
ಬಿದ್ದಿದೆ 1.0	b i d eu d i d e 
ಅವೆರಡನ್ನೂ 1.0	a w e r dx n eu n uu 
ಬೆರೆಸಬೇಕು 1.0	b e r e s b ee k u 
ಆಸಕ್ತರಿಗೆ 1.0	aa s k eu t r i g e 
ಮಾರುವುದಕ್ಕೇ 1.0	m aa r u w u d k eu k ee 
ಸಂಸ್ಥೆಗಳಿವೆ 1.0	s q s eu th e g lx i w e 
ದೇವತೆಗಳಿಗೂ 1.0	d ee w t e g lx i g uu 
ಆತ್ಮನಾಗಿದ್ದಾನೆ 1.0	aa t eu m n aa g i d eu d aa n e 
ಶಾಸನಸಭೆಯಲ್ಲಿ 1.0	sh aa s n s bh e y l eu l i 
ಅಹವಾಲು 1.0	a h w aa l u 
ಸಲ್ಲಿಸಿದವು 1.0	s l eu l i s i d w u 
ಅರ್ಜಿಯು 1.0	a r eu j i y u 
ಎನ್ನುವುದನ್ನು 1.0	e n eu n u w u d n eu n u 
ಘೋಷಿಸಿತು 1.0	gh ii i s i t u 
ಆಸ್ಟ್ರೇಲಿಯಾ 1.0	aa s eu tx eu r ee l i y aa 
ಒಡತಿ 1.0	o dx t i 
ಎರೆದು 1.0	e r e d u 
ಆರ್ಥಿಕಾಭಿವೃದ್ಧಿಯಲ್ಲಿ 1.0	aa r eu th i k aa bh i w rq d eu dh i y l eu l i 
ಬಂಡವಾಳದ 1.0	b q dx w aa lx d 
ಸಹಾಯದ 1.0	s h aa y d 
ಯಾವತ್ತೂ 1.0	y aa w t eu t uu 
ಮಹತ್ವಪುರ್ಣವಾದುದಾಗಿದೆ 1.0	m h t eu w p u r eu nx w aa d u d aa g i d e 
ಸೃಷ್ಟಿಸಿ 1.0	s rq sx eu tx i s i 
ಬೆಳೆವಣಿಗೆಯಾಗುತ್ತವೆ 1.0	b e lx e w nx i g e y aa g u t eu t w e 
ವಸ್ತುಗಳಿಂದ 1.0	w s eu t u g lx i q d 
ರಚಿತವಾದ 1.0	r c i t w aa d 
ಅದರಲ್ಲೂ 1.0	a d r l eu l uu 
ಸಿಲಿಕಾಮಯ 1.0	s i l i k aa m y 
ಡೋಲಮೆಟಿಕ್ 1.0	dx ii m e tx i k eu 
ಅದಿರಗಳು 1.0	a d i r g lx u 
ಪೋಷಾಕನ್ನು 1.0	p ii aa k n eu n u 
ತಗ್ಗಿಸಬಲ್ಲವು 1.0	t g eu g i s b l eu l w u 
ಅರ್ಥಗಳು 1.0	a r eu th g lx u 
ಕೆಳಗಿನಂತಿವೆ 1.0	k e lx g i n q t i w e 
ಅಂತಾರಾಷ್ಟ್ರೀಯವನ್ನು 1.0	a q t aa r aa sx eu tx eu r ii y w n eu n u 
ನ್ಯೂಯಾರ್ಕಿಗೆ 1.0	n eu y uu y aa r eu k i g e 
ವರ್ಗಾಯಿಸಲಾಯಿತು 1.0	w r eu g aa y i s l aa y i t u 
ಕಾರಣದಿಂದಲೇ 1.0	k aa r nx d i q d l ee 
ರಸಿಕೆಯಲ್ಲಿ 1.0	r s i k e y l eu l i 
ಅಂಟಣಿಕಗಳು 1.0	a q tx nx i k g lx u 
ಇರುವುದನ್ನು 1.0	i r u w u d n eu n u 
ಅಂಟಣಿಕವನ್ನು 1.0	a q tx nx i k w n eu n u 
ಬಳಸುವುದು 1.0	b lx s u w u d u 
ಕಾಂತತ್ವ 1.0	k aa q t t eu w 
ಘಟನೆಯ 1.0	gh tx n e y 
ಪರಿಣಾಮದಿಂದ 1.0	p r i nx aa m d i q d 
ಸೋಂಕು 1.0	s ii k u 
ತಗುಲಿಯೋ 1.0	t g u l i y oo 
ಪ್ರತಿರಕ್ಷಣಾವಿಧಾನಗಳಿಂದಲೋ 1.0	p eu r t i r k eu sx nx aa w i dh aa n g lx i q d l oo 
ರಕ್ಷಣೆ 1.0	r k eu sx nx e 
ಪಡೆದವರಲ್ಲಿ 1.0	p dx e d w r l eu l i 
ಹೆಚ್ಚಿರುವುದು 1.0	h e c eu c i r u w u d u 
ಇದಕ್ಕಿಂತಲೂ 1.0	i d k eu k i q t l uu 
ಸಂಕೀರ್ಣವಾದ 1.0	s q k ii r eu nx w aa d 
ಮೊಟ್ಟೆಗಳೆಂದರೆ 1.0	m o tx eu tx e g lx e q d r e 
ಪಕ್ಷಿಗಳ 1.0	p k eu sx i g lx 
ಅಂತಸ್ಥಶಕ್ತಿಯಾಗಿದೆ 1.0	a q t s eu th sh k eu t i y aa g i d e 
ಗಟ್ಟಿಗನಾದರೆ 1.0	g tx eu tx i g n aa d r e 
ಬುದ್ಧಿಶಕ್ತಿಯಿಂದಲೇ 1.0	b u d eu dh i sh k eu t i y i q d l ee 
ರೋಗದ 1.0	r ii d 
ಅರಿತು 1.0	a r i t u 
ಕೊಡುವುದರಿಂದ 1.0	k o dx u w u d r i q d 
ಗುಣವಾಗುತ್ತದೆ 1.0	g u nx w aa g u t eu t d e 
ಶೇಖರಿಸಿದದ್ದನ್ನು 1.0	sh ee kh r i s i d d eu d n eu n u 
ತೆಂಗಿನ 1.0	t e q g i n 
ಮರಗಳಿವೆ 1.0	m r g lx i w e 
ಪ್ರವೃತ್ತಿಯು 1.0	p eu r w rq t eu t i y u 
ವಿವರಿಸುವುದೇನೆಂದರೆ 1.0	w i w r i s u w u d ee n e q d r e 
ಹಣ್ಣಿನಿಂದ 1.0	h nx eu nx i n i q d 
ಜಾಮ್ 1.0	j aa m eu 
ತಯಾರಿಸುತ್ತಾರೆ 1.0	t y aa r i s u t eu t aa r e 
ಕೈಗಾರಿಕೋದ್ಯಮಗಳಿಗೆ 1.0	k ai g aa r i k ii eu y m g lx i g e 
ಅನುಕೂಲತೆಗೆ 1.0	a n u k uu l t e g e 
ವಿದ್ಯದುತ್ಪಾದನೆ 1.0	w i d eu y d u t eu p aa d n e 
ಭರದಿಂದ 1.0	bh r d i q d 
ಸಾಗಿದೆ 1.0	s aa g i d e 
ಪಶ್ಚಿಮಕ್ಕೆ 1.0	p sh eu c i m k eu k e 
ಜೋಡಣೆಯು 1.0	j ii nx e y u 
ಮುಕ್ತಾಯಗೊಳ್ಳಬಹುದೆಂದು 1.0	m u k eu t aa y g o lx eu lx b h u d e q d u 
ನಿರೀಕ್ಷಿಸಲಾಗಿದೆ 1.0	n i r ii k eu sx i s l aa g i d e 
ಡೌಗ್ಲಾಸ್ 1.0	dx au g eu l aa s eu 
ವೀಲಾಕ್‌ರವರು 1.0	w ii l aa k eu r w r u 
ನೆರವಾದರು 1.0	n e r w aa d r u 
ಕತ್ತಿನಲ್ಲಿರುವುವು 1.0	k t eu t i n l eu l i r u w u w u 
ಹೃದಯವನ್ನು 1.0	h rq d y w n eu n u 
ಬಂಧಿಸಿ 1.0	b q dh i s i 
ಮೇಢ್ರದವರೆಗೂ 1.0	m ee dxh eu r d w r e g uu 
ಒಪ್ಪುವಹಾಗಿಲ್ಲ 1.0	o p eu p u w h aa g i l eu l 
ರಷ್ಯಕ್ಕೆ 1.0	r sx eu y k eu k e 
ಪ್ರಮಾಣದಷ್ಟು 1.0	p eu r m aa nx d sx eu tx u 
ಪಡೆವ 1.0	p dx e w 
ಕಾಲಾವಧಿಯ 1.0	k aa l aa w dh i y 
ಒದಗಿಸಿದೆ 1.0	o d g i s i d e 
ಪ್ರಚೋದಕಗಳನ್ನು 1.0	p eu r c ii k g lx n eu n u 
ನಿಯಂತ್ರಿಸಲು 1.0	n i y q t eu r i s l u 
ಉಪಕರಣಗಳ 1.0	u p k r nx g lx 
ಆವಶ್ಯಕತೆ 1.0	aa w sh eu y k t e 
ಕಂಡುಬಂದಿತು 1.0	k q dx u b q d i t u 
ಎರಡರಿಂದ 1.0	e r dx r i q d 
ಐದುನಿಮಿಷಗಳ 1.0	ai d u n i m i sx g lx 
ವ್ಯವಹಾರಗಳನ್ನು 1.0	w eu y w h aa r g lx n eu n u 
ಸ್ಥಿರಗೊಳಿಸುವ 1.0	s eu th i r g o lx i s u w 
ಕಾರ್ಯಭಾರವೂ 1.0	k aa r eu y bh aa r w uu 
ಅಷ್ಟೇನೂ 1.0	a sx eu tx ee n uu 
ಮುಖ್ಯವಲ್ಲ 1.0	m u kh eu y w l eu l 
ಕಾಡುಪಕ್ಷಿಗಳ 1.0	k aa dx u p k eu sx i g lx 
ಗೂಡಿನಿಂದ 1.0	g uu dx i n i q d 
ತಂದೋ 1.0	t q d oo 
ಪಕ್ಷಿಗಳನ್ನು 1.0	p k eu sx i g lx n eu n u 
ಸಾಕಿಯೋ 1.0	s aa k i y oo 
ಮೊಟ್ಟೆ 1.0	m o tx eu tx e 
ಸೇವಿಸುತ್ತಿದ್ದ 1.0	s ee w i s u t eu t i d eu d 
ಅಗೋಚರ 1.0	a g ii r 
ಅಮೇರಿಕವು 1.0	a m ee r i k w u 
ಕಾರ್ಮಿಕರಿಗೆ 1.0	k aa r eu m i k r i g e 
ಅವಶ್ಯವಾಗಿ 1.0	a w sh eu y w aa g i 
ಬೇಕಾದಂತಹ 1.0	b ee k aa d q t h 
ಚೀನಾದಿಂದ 1.0	c ii n aa d i q d 
ಆಮದುಮಾಡಿಕೊಳ್ಳುವುದು 1.0	aa m d u m aa dx i k o lx eu lx u w u d u 
ಆರ್ಥಿಕೋದ್ದೇಶಗಳಿಗಾಗಿ 1.0	aa r eu th i k ii eu d ee sh g lx i g aa g i 
ಏರ್ಪಟ್ಟ 1.0	ee r eu p tx eu tx 
ಒಂದುನೂರು 1.0	o q d u n uu r u 
ವರ್ಷಗಳಿಂದ 1.0	w r eu sx g lx i q d 
ಕಬ್ಬಿಣ 1.0	k b eu b i nx 
ತಾಮ್ರ 1.0	t aa m eu r 
ದೊರಕುತ್ತವೆ 1.0	d o r k u t eu t w e 
ಪರಿಭ್ರಮಣಕ್ಕಾಗಿ 1.0	p r i bh eu r m nx k eu k aa g i 
ತಿಂಗಳಿಗೊಮ್ಮೆ 1.0	t i q g lx i g o m eu m e 
ಬದಲಾಯಿಸುವ 1.0	b d l aa y i s u w 
ವಿಸರ್ಜನೆಗಾಗಿ 1.0	w i s r eu j n e g aa g i 
ವುಂಟನ 1.0	w u q tx n 
ಶಿಷ್ಯರಲ್ಲೊಬ್ಬನಾದ 1.0	sh i sx eu y r l eu l o b eu b n aa d 
ಟಿಚ್ನರ್ 1.0	tx i c eu n r eu 
ಪ್ರಭಾವಂತವನ್ನಾಗಿ 1.0	p eu r bh aa w q t w n eu n aa g i 
ಮಾಡಿದನು 1.0	m aa dx i d n u 
ಗ್ರಂಥಾಲಯ 1.0	g eu r q th aa l y 
ವಿಭಾಗದ 1.0	w i bh aa g d 
ಪುಸ್ತಕಗಳನ್ನು 1.0	p u s eu t k g lx n eu n u 
ವ್ಯಾಪಾರಿಗೆ 1.0	w eu y aa p aa r i g e 
ಕಾರ್ಯಾಲಯವಿರುವುದಿಲ್ಲ 1.0	k aa r eu y aa l y w i r u w u d i l eu l 
ಲಾಭ 1.0	l aa bh 
ಸಿಕ್ಕರೂ 1.0	s i k eu k r uu 
ಬಿಡುವುದಿಲ್ಲ 1.0	b i dx u w u d i l eu l 
ಭೂಮಿಯಿಂದ 1.0	bh uu m i y i q d 
ನೌಕೆಯನ್ನು 1.0	n au k e y n eu n u 
ಚಲಾಯಿಸಲು 1.0	c l aa y i s l u 
ಪ್ರಜ್ಞಾನುಭವದ 1.0	p eu r j eu nj aa n u bh w d 
ವೀಕ್ಷಣೆ 1.0	w ii k eu sx nx e 
ಸಂಖ್ಯಾಶಾಸ್ತ್ರವನ್ನು 1.0	s q kh eu y aa sh aa s eu t eu r w n eu n u 
ಸತತವಾಗಿ 1.0	s t t w aa g i 
ಮಾಧ್ಯಮ 1.0	m aa dh eu y m 
ಅಧ್ಯಯನದಲ್ಲಿನ 1.0	a dh eu y y n d l eu l i n 
ಕ್ರಿಸ್ತನು 1.0	k eu r i s eu t n u 
ಪಶ್ಚಾತ್ತಾಪಕ್ಕೆ 1.0	p sh eu c aa t eu t aa p k eu k e 
ಮಹತ್ವವನ್ನು 1.0	m h t eu w w n eu n u 
ಪಾಪಕ್ಕೆ 1.0	p aa p k eu k e 
ಕ್ಷಮೆಯುಂಟೆಂದು 1.0	k eu sx m e y u q tx e q d u 
ಬೋಧಿಸಿದ 1.0	b ii i s i d 
ತೇಲಿಹೋಗದಂತೆ 1.0	t ee l i h ii d q t e 
ಅಯಸ್ಕಾಂತಗಳೊಂದಿಗೆ 1.0	a y s eu k aa q t g lx o q d i g e 
ತಟ್ಟೆಯಲ್ಲಿ 1.0	t tx eu tx e y l eu l i 
ಜೋಡಿಸಲಾಗಿರುತ್ತದೆ 1.0	j ii i s l aa g i r u t eu t d e 
ಜಿ 1.0	j i 
ಸಿಗ್ನಲ್ 1.0	s i g eu n l eu 
ಇವೆರಡರಲ್ಲಿ 1.0	i w e r dx r l eu l i 
ವ್ಯತ್ಯಾಸಗಳು 1.0	w eu y t eu y aa s g lx u 
